data,dia_da_semana,horario,quem_fez_o_pedido,id_pedido,id_aluno,tipo_pedido,opcao_salada,opcao_doce,opcao_fruta
2024-11-01,Friday,19:30:00,Aluno 1460,12885,1279,tipo1,Sim,Não,Sim
2024-11-01,Friday,13:00:00,Aluno 1489,18576,1664,tipo1,Sim,Sim,Não
2024-11-01,Friday,13:30:00,Aluno 1307,11481,1894,tipo4,Sim,Não,Sim
2024-11-01,Friday,19:00:00,Aluno 1612,19280,1021,tipo1,Não,Sim,Não
2024-11-01,Friday,18:30:00,Aluno 1358,14946,1571,tipo3,Sim,Não,Sim
2024-11-01,Friday,13:30:00,Aluno 1592,17596,1967,tipo3,Sim,Sim,Não
2024-11-01,Friday,17:00:00,Aluno 1237,17679,1314,tipo3,Sim,Não,Sim
2024-11-01,Friday,13:00:00,Aluno 1115,15863,1997,tipo3,Não,Sim,Não
2024-11-01,Friday,20:00:00,Aluno 1408,17720,1095,tipo3,Sim,Não,Sim
2024-11-01,Friday,11:00:00,Aluno 1099,15379,1454,tipo4,Não,Sim,Não
2024-11-01,Friday,12:30:00,Aluno 1377,14917,1797,tipo1,Sim,Não,Sim
2024-11-01,Friday,20:30:00,Aluno 1071,19868,1350,tipo1,Não,Sim,Não
2024-11-01,Friday,18:00:00,Aluno 1473,12659,1901,tipo1,Não,Não,Sim
2024-11-01,Friday,14:00:00,Aluno 1963,11608,1194,tipo3,Não,Sim,Não
2024-11-01,Friday,19:00:00,Aluno 1092,19294,1824,tipo2,Não,Não,Sim
2024-11-01,Friday,11:00:00,Aluno 1733,11109,1137,tipo1,Sim,Não,Sim
2024-11-01,Friday,12:30:00,Aluno 1161,17696,1816,tipo4,Sim,Não,Sim
2024-11-01,Friday,19:30:00,Aluno 1162,15699,1798,tipo1,Sim,Não,Sim
2024-11-01,Friday,14:00:00,Aluno 1704,17519,1359,tipo3,Não,Não,Sim
2024-11-01,Friday,18:00:00,Aluno 1138,15276,1184,tipo3,Sim,Sim,Não
2024-11-01,Friday,17:00:00,Aluno 1625,19798,1838,tipo1,Não,Não,Sim
2024-11-01,Friday,10:30:00,Aluno 1385,10021,1860,tipo2,Não,Sim,Não
2024-11-01,Friday,19:00:00,Aluno 1497,19164,1216,tipo2,Não,Não,Sim
2024-11-01,Friday,17:00:00,Aluno 1774,11521,1815,tipo2,Sim,Não,Sim
2024-11-01,Friday,18:00:00,Aluno 1713,16512,1083,tipo3,Não,Sim,Não
2024-11-01,Friday,17:00:00,Aluno 1532,17758,1831,tipo2,Não,Não,Sim
2024-11-01,Friday,12:00:00,Aluno 1127,14689,1108,tipo1,Sim,Sim,Não
2024-11-01,Friday,11:00:00,Aluno 1855,12277,1368,tipo2,Sim,Sim,Não
2024-11-01,Friday,12:30:00,Aluno 1130,11918,1600,tipo3,Não,Sim,Não
2024-11-01,Friday,10:30:00,Aluno 1870,16279,1334,tipo4,Sim,Não,Sim
2024-11-01,Friday,14:30:00,Aluno 1431,19528,1579,tipo4,Sim,Sim,Não
2024-11-01,Friday,18:00:00,Aluno 1632,11429,1028,tipo3,Sim,Sim,Não
2024-11-01,Friday,17:00:00,Aluno 1203,19287,1670,tipo3,Não,Não,Sim
2024-11-01,Friday,20:30:00,Aluno 1323,11150,1333,tipo2,Não,Sim,Não
2024-11-01,Friday,18:30:00,Aluno 1642,16263,1576,tipo4,Sim,Sim,Não
2024-11-01,Friday,20:00:00,Aluno 1537,18438,1678,tipo3,Sim,Sim,Não
2024-11-01,Friday,19:00:00,Aluno 1041,12028,1390,tipo3,Não,Sim,Não
2024-11-01,Friday,17:30:00,Aluno 1711,19885,1393,tipo3,Sim,Sim,Não
2024-11-01,Friday,14:00:00,Aluno 1976,13578,1558,tipo2,Sim,Não,Sim
2024-11-01,Friday,19:30:00,Aluno 1588,18901,1923,tipo4,Sim,Sim,Não
2024-11-01,Friday,10:30:00,Aluno 1672,12794,1457,tipo4,Não,Sim,Não
2024-11-01,Friday,18:30:00,Aluno 1849,14632,1666,tipo1,Não,Sim,Não
2024-11-01,Friday,19:00:00,Aluno 1713,13300,1877,tipo4,Sim,Sim,Não
2024-11-01,Friday,13:30:00,Aluno 1853,13622,1408,tipo4,Não,Não,Sim
2024-11-01,Friday,13:00:00,Aluno 1593,19188,1605,tipo2,Não,Sim,Não
2024-11-01,Friday,13:30:00,Aluno 1379,18256,1232,tipo2,Sim,Não,Sim
2024-11-01,Friday,20:00:00,Aluno 1863,17722,1466,tipo3,Não,Não,Sim
2024-11-01,Friday,13:30:00,Aluno 1396,12132,1470,tipo2,Sim,Não,Sim
2024-11-01,Friday,14:30:00,Aluno 1261,11117,1279,tipo2,Sim,Não,Sim
2024-11-01,Friday,17:00:00,Aluno 1891,18329,1876,tipo3,Não,Não,Sim
2024-11-01,Friday,19:30:00,Aluno 1185,12611,1008,tipo2,Sim,Não,Sim
2024-11-01,Friday,14:30:00,Aluno 1131,14453,1863,tipo3,Não,Sim,Não
2024-11-01,Friday,19:00:00,Aluno 1161,12770,1701,tipo3,Sim,Não,Sim
2024-11-01,Friday,17:30:00,Aluno 1113,17437,1943,tipo4,Sim,Sim,Não
2024-11-01,Friday,14:00:00,Aluno 1297,16671,1442,tipo4,Não,Não,Sim
2024-11-01,Friday,11:30:00,Aluno 1894,13984,1326,tipo3,Sim,Não,Sim
2024-11-01,Friday,19:00:00,Aluno 1747,18268,1659,tipo4,Sim,Sim,Não
2024-11-01,Friday,12:30:00,Aluno 1149,17191,1907,tipo1,Sim,Sim,Não
2024-11-02,Saturday,20:30:00,Aluno 1642,13202,1349,tipo4,Sim,Sim,Não
2024-11-02,Saturday,13:30:00,Aluno 1001,15545,1152,tipo1,Não,Sim,Não
2024-11-02,Saturday,14:00:00,Aluno 1984,14624,1006,tipo4,Sim,Não,Sim
2024-11-02,Saturday,20:30:00,Aluno 1756,12509,1607,tipo2,Sim,Não,Sim
2024-11-02,Saturday,14:30:00,Aluno 1316,19324,1808,tipo1,Sim,Sim,Não
2024-11-02,Saturday,13:00:00,Aluno 1205,17379,1940,tipo2,Sim,Não,Sim
2024-11-02,Saturday,19:00:00,Aluno 1660,13063,1121,tipo2,Sim,Sim,Não
2024-11-02,Saturday,11:30:00,Aluno 1980,15101,1224,tipo4,Sim,Não,Sim
2024-11-02,Saturday,18:30:00,Aluno 1779,11329,1560,tipo2,Sim,Sim,Não
2024-11-02,Saturday,14:00:00,Aluno 1545,13424,1325,tipo1,Não,Não,Sim
2024-11-02,Saturday,13:30:00,Aluno 1255,12092,1608,tipo4,Não,Sim,Não
2024-11-02,Saturday,11:00:00,Aluno 1470,12547,1976,tipo3,Não,Sim,Não
2024-11-02,Saturday,11:00:00,Aluno 1025,15676,1830,tipo1,Sim,Não,Sim
2024-11-02,Saturday,19:00:00,Aluno 1568,18681,1218,tipo2,Sim,Não,Sim
2024-11-02,Saturday,19:00:00,Aluno 1369,13125,1059,tipo4,Não,Sim,Não
2024-11-02,Saturday,17:30:00,Aluno 1431,18974,1966,tipo2,Sim,Não,Sim
2024-11-02,Saturday,18:30:00,Aluno 1708,14242,1268,tipo4,Sim,Não,Sim
2024-11-02,Saturday,10:30:00,Aluno 1377,15749,1371,tipo3,Sim,Não,Sim
2024-11-02,Saturday,18:00:00,Aluno 1417,17674,1604,tipo1,Sim,Não,Sim
2024-11-02,Saturday,17:30:00,Aluno 1758,10233,1609,tipo3,Não,Sim,Não
2024-11-02,Saturday,12:00:00,Aluno 1433,18373,1249,tipo2,Sim,Não,Sim
2024-11-02,Saturday,10:30:00,Aluno 1549,10330,1295,tipo3,Sim,Não,Sim
2024-11-02,Saturday,12:30:00,Aluno 1186,17025,1766,tipo3,Sim,Sim,Não
2024-11-02,Saturday,11:30:00,Aluno 1800,16344,1893,tipo2,Não,Sim,Não
2024-11-02,Saturday,13:00:00,Aluno 1447,10280,1108,tipo2,Sim,Não,Sim
2024-11-02,Saturday,11:30:00,Aluno 1255,10908,1432,tipo1,Sim,Não,Sim
2024-11-02,Saturday,13:00:00,Aluno 1999,18838,1602,tipo2,Sim,Não,Sim
2024-11-02,Saturday,17:30:00,Aluno 1996,17428,1033,tipo4,Sim,Sim,Não
2024-11-02,Saturday,19:00:00,Aluno 1908,10541,1914,tipo3,Não,Sim,Não
2024-11-02,Saturday,18:30:00,Aluno 1261,15941,1490,tipo3,Sim,Sim,Não
2024-11-02,Saturday,12:30:00,Aluno 1959,11091,1302,tipo3,Não,Não,Sim
2024-11-02,Saturday,12:30:00,Aluno 2000,11723,1599,tipo4,Não,Sim,Não
2024-11-02,Saturday,20:00:00,Aluno 1801,10149,1917,tipo1,Não,Não,Sim
2024-11-02,Saturday,13:30:00,Aluno 1830,14377,1729,tipo3,Sim,Sim,Não
2024-11-02,Saturday,20:30:00,Aluno 1843,17251,1443,tipo3,Sim,Sim,Não
2024-11-02,Saturday,11:00:00,Aluno 1919,18626,1086,tipo2,Sim,Sim,Não
2024-11-02,Saturday,10:30:00,Aluno 1556,10637,1201,tipo2,Não,Sim,Não
2024-11-02,Saturday,17:30:00,Aluno 1850,13810,1143,tipo4,Sim,Sim,Não
2024-11-02,Saturday,20:00:00,Aluno 1780,19190,1853,tipo1,Não,Não,Sim
2024-11-02,Saturday,18:00:00,Aluno 1152,16698,1589,tipo3,Sim,Sim,Não
2024-11-02,Saturday,10:30:00,Aluno 1680,14325,1681,tipo3,Não,Não,Sim
2024-11-02,Saturday,19:30:00,Aluno 1751,17160,1405,tipo4,Sim,Não,Sim
2024-11-02,Saturday,18:00:00,Aluno 1467,13751,1228,tipo4,Não,Não,Sim
2024-11-02,Saturday,17:30:00,Aluno 1105,18469,1114,tipo2,Não,Sim,Não
2024-11-02,Saturday,18:00:00,Aluno 1962,18924,1433,tipo2,Não,Não,Sim
2024-11-02,Saturday,11:00:00,Aluno 1373,16183,1729,tipo3,Sim,Não,Sim
2024-11-02,Saturday,11:00:00,Aluno 1491,13963,1371,tipo4,Sim,Não,Sim
2024-11-02,Saturday,14:00:00,Aluno 1078,18077,1112,tipo4,Não,Sim,Não
2024-11-02,Saturday,19:00:00,Aluno 1531,10933,1249,tipo4,Não,Não,Sim
2024-11-02,Saturday,17:30:00,Aluno 1931,17125,1889,tipo2,Não,Não,Sim
2024-11-02,Saturday,18:00:00,Aluno 1971,12016,1552,tipo3,Sim,Sim,Não
2024-11-02,Saturday,12:30:00,Aluno 1570,15902,1065,tipo4,Sim,Não,Sim
2024-11-02,Saturday,12:00:00,Aluno 1879,13077,1678,tipo2,Não,Não,Sim
2024-11-02,Saturday,12:00:00,Aluno 1040,13739,1173,tipo1,Sim,Sim,Não
2024-11-02,Saturday,18:30:00,Aluno 1172,18575,1324,tipo3,Sim,Não,Sim
2024-11-02,Saturday,19:30:00,Aluno 1586,16817,1451,tipo3,Não,Sim,Não
2024-11-02,Saturday,13:30:00,Aluno 1562,19299,1010,tipo1,Não,Não,Sim
2024-11-02,Saturday,20:00:00,Aluno 1485,17972,1889,tipo3,Sim,Não,Sim
2024-11-02,Saturday,11:00:00,Aluno 1431,19601,1434,tipo3,Não,Sim,Não
2024-11-02,Saturday,18:30:00,Aluno 1069,14072,1607,tipo3,Sim,Sim,Não
2024-11-02,Saturday,11:00:00,Aluno 1602,18195,1983,tipo1,Sim,Sim,Não
2024-11-02,Saturday,18:00:00,Aluno 1428,19793,1783,tipo3,Não,Sim,Não
2024-11-02,Saturday,14:00:00,Aluno 1976,11055,1622,tipo3,Não,Sim,Não
2024-11-02,Saturday,13:00:00,Aluno 1552,16262,1609,tipo3,Não,Não,Sim
2024-11-02,Saturday,14:00:00,Aluno 1892,11193,1590,tipo4,Não,Sim,Não
2024-11-02,Saturday,10:30:00,Aluno 1968,16553,1192,tipo4,Sim,Não,Sim
2024-11-02,Saturday,11:00:00,Aluno 1717,18535,1550,tipo2,Sim,Sim,Não
2024-11-02,Saturday,13:00:00,Aluno 1895,12178,1793,tipo3,Não,Não,Sim
2024-11-02,Saturday,20:00:00,Aluno 1352,15952,1093,tipo4,Sim,Sim,Não
2024-11-02,Saturday,17:30:00,Aluno 1000,12483,1060,tipo1,Sim,Não,Sim
2024-11-02,Saturday,17:30:00,Aluno 1275,16307,1550,tipo4,Não,Sim,Não
2024-11-02,Saturday,14:30:00,Aluno 1918,15043,1605,tipo3,Não,Sim,Não
2024-11-02,Saturday,12:30:00,Aluno 1342,19504,1757,tipo1,Não,Sim,Não
2024-11-02,Saturday,11:30:00,Aluno 1539,14033,1730,tipo1,Não,Sim,Não
2024-11-02,Saturday,11:30:00,Aluno 1511,17290,1154,tipo3,Não,Não,Sim
2024-11-02,Saturday,18:30:00,Aluno 1944,13916,1353,tipo3,Sim,Sim,Não
2024-11-02,Saturday,19:00:00,Aluno 1458,17932,1212,tipo1,Não,Sim,Não
2024-11-02,Saturday,17:00:00,Aluno 1365,19565,1827,tipo1,Sim,Sim,Não
2024-11-02,Saturday,11:00:00,Aluno 1807,18343,1725,tipo3,Sim,Não,Sim
2024-11-02,Saturday,12:30:00,Aluno 1727,18055,1674,tipo4,Não,Não,Sim
2024-11-02,Saturday,11:30:00,Aluno 1233,11874,1079,tipo2,Não,Não,Sim
2024-11-02,Saturday,11:00:00,Aluno 1214,16173,1636,tipo3,Sim,Sim,Não
2024-11-02,Saturday,19:30:00,Aluno 1778,19863,1690,tipo1,Sim,Sim,Não
2024-11-02,Saturday,10:00:00,Aluno 1926,15136,1888,tipo3,Não,Sim,Não
2024-11-02,Saturday,20:00:00,Aluno 1718,16974,1656,tipo2,Sim,Não,Sim
2024-11-02,Saturday,14:00:00,Aluno 1364,17762,1905,tipo4,Sim,Não,Sim
2024-11-02,Saturday,17:00:00,Aluno 2000,13764,1314,tipo4,Não,Não,Sim
2024-11-02,Saturday,12:00:00,Aluno 1875,11585,1780,tipo3,Sim,Não,Sim
2024-11-02,Saturday,11:30:00,Aluno 1400,10929,1759,tipo2,Sim,Sim,Não
2024-11-02,Saturday,14:00:00,Aluno 1735,18238,1235,tipo4,Sim,Sim,Não
2024-11-02,Saturday,20:30:00,Aluno 1503,10929,1557,tipo1,Sim,Não,Sim
2024-11-02,Saturday,18:30:00,Aluno 1788,17636,1053,tipo1,Sim,Não,Sim
2024-11-02,Saturday,18:30:00,Aluno 1936,13687,1932,tipo3,Sim,Sim,Não
2024-11-02,Saturday,12:00:00,Aluno 1926,19856,1269,tipo1,Não,Sim,Não
2024-11-02,Saturday,19:00:00,Aluno 1270,13768,1145,tipo4,Sim,Não,Sim
2024-11-02,Saturday,19:30:00,Aluno 1180,16316,1505,tipo3,Não,Sim,Não
2024-11-02,Saturday,13:30:00,Aluno 1880,19086,1282,tipo4,Não,Sim,Não
2024-11-02,Saturday,18:30:00,Aluno 1430,13849,1139,tipo3,Não,Não,Sim
2024-11-02,Saturday,11:00:00,Aluno 1394,11968,1362,tipo4,Não,Não,Sim
2024-11-02,Saturday,19:00:00,Aluno 1352,18984,1155,tipo1,Não,Sim,Não
2024-11-03,Sunday,20:00:00,Aluno 1000,14192,1443,tipo3,Não,Sim,Não
2024-11-03,Sunday,18:30:00,Aluno 1150,13221,1782,tipo2,Sim,Não,Sim
2024-11-03,Sunday,18:30:00,Aluno 1715,17218,1086,tipo3,Não,Não,Sim
2024-11-03,Sunday,18:30:00,Aluno 1301,18203,1936,tipo4,Sim,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1843,10888,1330,tipo3,Sim,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1733,17880,1803,tipo3,Sim,Não,Sim
2024-11-03,Sunday,10:00:00,Aluno 1524,14976,1121,tipo2,Sim,Sim,Não
2024-11-03,Sunday,20:00:00,Aluno 1794,10585,1171,tipo2,Sim,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1224,11538,1884,tipo2,Não,Sim,Não
2024-11-03,Sunday,10:30:00,Aluno 1918,10010,1852,tipo1,Não,Sim,Não
2024-11-03,Sunday,12:30:00,Aluno 1358,18216,1709,tipo3,Sim,Sim,Não
2024-11-03,Sunday,20:30:00,Aluno 1134,18272,1779,tipo2,Não,Não,Sim
2024-11-03,Sunday,13:00:00,Aluno 1033,14876,1013,tipo4,Sim,Sim,Não
2024-11-03,Sunday,10:30:00,Aluno 1788,14930,1854,tipo3,Não,Não,Sim
2024-11-03,Sunday,11:00:00,Aluno 1180,18638,1066,tipo3,Não,Sim,Não
2024-11-03,Sunday,13:30:00,Aluno 1103,13291,1544,tipo2,Sim,Sim,Não
2024-11-03,Sunday,13:30:00,Aluno 1538,19122,1947,tipo4,Não,Não,Sim
2024-11-03,Sunday,10:30:00,Aluno 1233,18442,1818,tipo2,Sim,Sim,Não
2024-11-03,Sunday,12:30:00,Aluno 1699,17762,1594,tipo3,Não,Sim,Não
2024-11-03,Sunday,20:30:00,Aluno 1773,18045,1425,tipo1,Sim,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1868,10644,1689,tipo2,Sim,Sim,Não
2024-11-03,Sunday,17:30:00,Aluno 1418,12180,1600,tipo2,Sim,Não,Sim
2024-11-03,Sunday,10:00:00,Aluno 1955,17676,1920,tipo1,Sim,Sim,Não
2024-11-03,Sunday,12:00:00,Aluno 1342,12032,1556,tipo2,Sim,Sim,Não
2024-11-03,Sunday,19:30:00,Aluno 1910,17376,1093,tipo3,Sim,Sim,Não
2024-11-03,Sunday,18:30:00,Aluno 1097,13148,1322,tipo2,Sim,Não,Sim
2024-11-03,Sunday,17:30:00,Aluno 1709,18031,1276,tipo4,Sim,Não,Sim
2024-11-03,Sunday,13:30:00,Aluno 1523,13227,1420,tipo1,Sim,Não,Sim
2024-11-03,Sunday,14:00:00,Aluno 1986,19767,1698,tipo2,Não,Sim,Não
2024-11-03,Sunday,14:30:00,Aluno 1491,13493,1928,tipo3,Sim,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1400,10236,1546,tipo1,Não,Sim,Não
2024-11-03,Sunday,12:00:00,Aluno 1566,10506,1400,tipo4,Não,Não,Sim
2024-11-03,Sunday,19:00:00,Aluno 1459,16992,1777,tipo1,Sim,Não,Sim
2024-11-03,Sunday,10:00:00,Aluno 1972,19950,1693,tipo2,Sim,Sim,Não
2024-11-03,Sunday,19:00:00,Aluno 1612,13981,1128,tipo1,Sim,Não,Sim
2024-11-03,Sunday,11:30:00,Aluno 1378,14370,1639,tipo1,Sim,Sim,Não
2024-11-03,Sunday,14:00:00,Aluno 1607,15046,1998,tipo3,Não,Sim,Não
2024-11-03,Sunday,10:30:00,Aluno 1726,14768,1026,tipo2,Não,Sim,Não
2024-11-03,Sunday,14:00:00,Aluno 1672,12093,1081,tipo3,Sim,Não,Sim
2024-11-03,Sunday,11:00:00,Aluno 1347,14977,1637,tipo3,Não,Sim,Não
2024-11-03,Sunday,13:00:00,Aluno 1535,15244,1455,tipo1,Não,Não,Sim
2024-11-03,Sunday,18:00:00,Aluno 1617,14180,1699,tipo4,Não,Sim,Não
2024-11-03,Sunday,12:00:00,Aluno 1564,15646,1649,tipo3,Não,Não,Sim
2024-11-03,Sunday,11:00:00,Aluno 1298,12645,1228,tipo2,Não,Não,Sim
2024-11-03,Sunday,11:00:00,Aluno 1961,12206,1260,tipo3,Sim,Sim,Não
2024-11-03,Sunday,17:00:00,Aluno 1826,18091,1062,tipo4,Não,Não,Sim
2024-11-03,Sunday,20:00:00,Aluno 1705,13059,1365,tipo4,Sim,Sim,Não
2024-11-03,Sunday,14:00:00,Aluno 1256,18735,1694,tipo3,Não,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1864,17586,1591,tipo4,Não,Não,Sim
2024-11-03,Sunday,13:00:00,Aluno 1280,11644,1796,tipo1,Sim,Não,Sim
2024-11-03,Sunday,18:00:00,Aluno 1703,15954,1853,tipo1,Sim,Sim,Não
2024-11-03,Sunday,14:30:00,Aluno 1089,18713,1682,tipo2,Não,Sim,Não
2024-11-03,Sunday,17:30:00,Aluno 1384,18401,1209,tipo3,Não,Não,Sim
2024-11-03,Sunday,18:00:00,Aluno 1393,12530,1295,tipo1,Sim,Sim,Não
2024-11-03,Sunday,12:30:00,Aluno 1984,10116,1653,tipo4,Não,Sim,Não
2024-11-03,Sunday,13:00:00,Aluno 1305,12593,1016,tipo2,Não,Não,Sim
2024-11-03,Sunday,12:30:00,Aluno 1667,17746,1063,tipo4,Sim,Sim,Não
2024-11-03,Sunday,12:00:00,Aluno 1975,17371,1328,tipo3,Sim,Sim,Não
2024-11-03,Sunday,19:00:00,Aluno 1478,12412,1531,tipo1,Não,Sim,Não
2024-11-03,Sunday,20:30:00,Aluno 1586,17072,1221,tipo1,Não,Sim,Não
2024-11-03,Sunday,17:00:00,Aluno 1806,13557,1013,tipo2,Não,Não,Sim
2024-11-03,Sunday,18:00:00,Aluno 1981,10972,1977,tipo3,Não,Não,Sim
2024-11-03,Sunday,19:30:00,Aluno 1177,11584,1544,tipo3,Sim,Não,Sim
2024-11-03,Sunday,10:30:00,Aluno 1600,16043,1603,tipo1,Não,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1477,10653,1228,tipo3,Não,Sim,Não
2024-11-03,Sunday,14:30:00,Aluno 1304,19402,1936,tipo3,Sim,Sim,Não
2024-11-03,Sunday,11:00:00,Aluno 1450,10031,1444,tipo1,Não,Sim,Não
2024-11-03,Sunday,11:30:00,Aluno 1007,13963,1941,tipo3,Sim,Não,Sim
2024-11-03,Sunday,20:00:00,Aluno 1317,13526,1090,tipo1,Não,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1355,16285,1807,tipo3,Sim,Sim,Não
2024-11-03,Sunday,10:00:00,Aluno 1491,17732,1125,tipo3,Não,Sim,Não
2024-11-03,Sunday,11:30:00,Aluno 1332,12276,1652,tipo1,Não,Sim,Não
2024-11-03,Sunday,11:30:00,Aluno 1211,17554,1859,tipo2,Não,Não,Sim
2024-11-03,Sunday,19:30:00,Aluno 1235,16457,1198,tipo3,Não,Não,Sim
2024-11-03,Sunday,10:00:00,Aluno 1928,13600,1300,tipo2,Não,Não,Sim
2024-11-03,Sunday,14:30:00,Aluno 1225,14374,1928,tipo4,Não,Não,Sim
2024-11-03,Sunday,13:30:00,Aluno 1718,11492,1444,tipo2,Não,Não,Sim
2024-11-03,Sunday,10:30:00,Aluno 1584,15336,1316,tipo3,Não,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1085,12748,1135,tipo4,Sim,Sim,Não
2024-11-03,Sunday,10:30:00,Aluno 1553,13649,1618,tipo3,Sim,Sim,Não
2024-11-03,Sunday,14:00:00,Aluno 1654,18975,1804,tipo1,Sim,Sim,Não
2024-11-03,Sunday,13:30:00,Aluno 1191,18165,1169,tipo4,Não,Não,Sim
2024-11-03,Sunday,10:30:00,Aluno 1745,17524,1435,tipo4,Sim,Sim,Não
2024-11-03,Sunday,12:00:00,Aluno 1353,11831,1207,tipo1,Sim,Não,Sim
2024-11-03,Sunday,12:30:00,Aluno 1946,14200,1401,tipo2,Sim,Sim,Não
2024-11-03,Sunday,10:00:00,Aluno 1685,17296,1004,tipo3,Não,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1166,11935,1444,tipo4,Não,Não,Sim
2024-11-03,Sunday,13:30:00,Aluno 1770,19498,1598,tipo4,Sim,Sim,Não
2024-11-03,Sunday,19:00:00,Aluno 1286,12802,1315,tipo4,Sim,Não,Sim
2024-11-03,Sunday,11:30:00,Aluno 1582,13370,1119,tipo4,Não,Sim,Não
2024-11-03,Sunday,18:00:00,Aluno 1614,12167,1519,tipo2,Sim,Não,Sim
2024-11-03,Sunday,12:00:00,Aluno 1376,14743,1394,tipo1,Sim,Não,Sim
2024-11-03,Sunday,19:30:00,Aluno 1004,17742,1056,tipo4,Sim,Não,Sim
